feature,category,scale
symbol_130,fund flow,0
symbol_131,fund flow,0
symbol_132,fund flow,0
symbol_133,fund flow,0
symbol_134,fund flow,0
symbol_135,fund flow,0
symbol_136,fund flow,0
symbol_137,fund flow,0
symbol_138,fund flow,0
symbol_139,fund flow,0
symbol_140,fund flow,0
symbol_141,fund flow,0
symbol_142,fund flow,0
symbol_143,fund flow,0
symbol_144,fund flow,0
symbol_145,fund flow,0
symbol_146,fund flow,0
symbol_147,fund flow,0
symbol_148,fund flow,0
symbol_149,fund flow,0
symbol_150,fund flow,0
symbol_151,fund flow,0
symbol_152,fund flow,0
symbol_153,fund flow,0
symbol_154,fund flow,0
symbol_155,fund flow,0
symbol_156,fund flow,0
symbol_157,fund flow,0
symbol_158,fund flow,0
symbol_159,fund flow,0
symbol_160,fund flow,0
symbol_161,fund flow,0
symbol_162,fund flow,0
symbol_163,fund flow,0
symbol_164,fund flow,0
symbol_165,fund flow,0
symbol_166,fund flow,0
symbol_167,fund flow,0
symbol_168,fund flow,0
symbol_169,fund flow,0
symbol_170,fund flow,0
symbol_171,fund flow,0
symbol_172,fund flow,0
symbol_173,fund flow,0
symbol_174,fund flow,0
symbol_175,fund flow,0
symbol_176,fund flow,0
symbol_177,fund flow,0
symbol_178,fund flow,0
symbol_179,fund flow,0
symbol_180,fund flow,0
symbol_181,fund flow,0
symbol_182,fund flow,0
symbol_183,fund flow,0
symbol_184,fund flow,0
symbol_185,fund flow,0
symbol_186,fund flow,0
symbol_187,fund flow,0
symbol_188,fund flow,0
symbol_189,fund flow,0
symbol_190,fund flow,0
symbol_191,fund flow,0
symbol_192,fund flow,0
symbol_193,fund flow,0
symbol_194,fund flow,0
symbol_195,fund flow,0
symbol_196,fund flow,0
symbol_197,fund flow,0
symbol_198,fund flow,0
symbol_199,fund flow,0
symbol_200,fund flow,0
symbol_201,fund flow,0
symbol_202,fund flow,0
symbol_203,fund flow,0
symbol_204,fund flow,0
symbol_205,fund flow,0
symbol_206,fund flow,0
symbol_207,fund flow,0
symbol_208,fund flow,0
symbol_209,fund flow,0
symbol_210,fund flow,0
symbol_211,fund flow,0
symbol_212,fund flow,0
symbol_213,fund flow,0
symbol_214,fund flow,0
symbol_215,fund flow,0
symbol_216,fund flow,0
symbol_217,fund flow,0
symbol_218,fund flow,0
symbol_219,fund flow,0
symbol_220,fund flow,0
symbol_221,fund flow,0
symbol_222,fund flow,0
symbol_223,fund flow,0
symbol_224,fund flow,0
symbol_225,fund flow,0
symbol_226,fund flow,0
symbol_227,fund flow,0
symbol_228,fund flow,0
